Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-48-06/
At seed=416, n=100, industry=EGY, sampling_method=ar1. at 0.36.
At seed=417, n=100, industry=EGY, sampling_method=ar1. at 1.21.
At seed=418, n=100, industry=EGY, sampling_method=ar1. at 1.92.
At seed=419, n=100, industry=EGY, sampling_method=ar1. at 2.62.
At seed=420, n=100, industry=EGY, sampling_method=ar1. at 3.27.
At seed=416, n=100, industry=EGY, sampling_method=garch. at 3.98.
At seed=417, n=100, industry=EGY, sampling_method=garch. at 4.87.
At seed=418, n=100, industry=EGY, sampling_method=garch. at 5.83.
At seed=419, n=100, industry=EGY, sampling_method=garch. at 6.4.
At seed=420, n=100, industry=EGY, sampling_method=garch. at 7.25.
At seed=416, n=100, industry=EGY, sampling_method=garch_ar1. at 7.95.
At seed=417, n=100, industry=EGY, sampling_method=garch_ar1. at 8.68.
At seed=418, n=100, industry=EGY, sampling_method=garch_ar1. at 9.49.
At seed=419, n=100, industry=EGY, sampling_method=garch_ar1. at 10.03.
At seed=420, n=100, industry=EGY, sampling_method=garch_ar1. at 10.59.
At seed=416, n=100, industry=EGY, sampling_method=mvn_arch. at 11.31.
At seed=417, n=100, industry=EGY, sampling_method=mvn_arch. at 11.94.
At seed=418, n=100, industry=EGY, sampling_method=mvn_arch. at 12.68.
At seed=419, n=100, industry=EGY, sampling_method=mvn_arch. at 13.41.
At seed=420, n=100, industry=EGY, sampling_method=mvn_arch. at 14.11.
At seed=416, n=200, industry=EGY, sampling_method=ar1. at 14.72.
At seed=417, n=200, industry=EGY, sampling_method=ar1. at 15.82.
At seed=418, n=200, industry=EGY, sampling_method=ar1. at 16.78.
At seed=419, n=200, industry=EGY, sampling_method=ar1. at 17.78.
At seed=420, n=200, industry=EGY, sampling_method=ar1. at 18.56.
At seed=416, n=200, industry=EGY, sampling_method=garch. at 19.49.
At seed=417, n=200, industry=EGY, sampling_method=garch. at 20.38.
At seed=418, n=200, industry=EGY, sampling_method=garch. at 21.32.
At seed=419, n=200, industry=EGY, sampling_method=garch. at 22.24.
At seed=420, n=200, industry=EGY, sampling_method=garch. at 23.1.
At seed=416, n=200, industry=EGY, sampling_method=garch_ar1. at 24.02.
At seed=417, n=200, industry=EGY, sampling_method=garch_ar1. at 24.97.
At seed=418, n=200, industry=EGY, sampling_method=garch_ar1. at 25.9.
At seed=419, n=200, industry=EGY, sampling_method=garch_ar1. at 26.79.
At seed=420, n=200, industry=EGY, sampling_method=garch_ar1. at 27.94.
At seed=416, n=200, industry=EGY, sampling_method=mvn_arch. at 28.94.
