Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-48-07/
At seed=446, n=100, industry=EGY, sampling_method=ar1. at 0.96.
At seed=447, n=100, industry=EGY, sampling_method=ar1. at 1.65.
At seed=448, n=100, industry=EGY, sampling_method=ar1. at 2.29.
At seed=449, n=100, industry=EGY, sampling_method=ar1. at 3.02.
At seed=450, n=100, industry=EGY, sampling_method=ar1. at 3.77.
At seed=446, n=100, industry=EGY, sampling_method=garch. at 4.75.
At seed=447, n=100, industry=EGY, sampling_method=garch. at 5.5.
At seed=448, n=100, industry=EGY, sampling_method=garch. at 6.14.
At seed=449, n=100, industry=EGY, sampling_method=garch. at 6.82.
At seed=450, n=100, industry=EGY, sampling_method=garch. at 7.52.
At seed=446, n=100, industry=EGY, sampling_method=garch_ar1. at 8.39.
At seed=447, n=100, industry=EGY, sampling_method=garch_ar1. at 9.01.
At seed=448, n=100, industry=EGY, sampling_method=garch_ar1. at 9.86.
At seed=449, n=100, industry=EGY, sampling_method=garch_ar1. at 10.64.
At seed=450, n=100, industry=EGY, sampling_method=garch_ar1. at 11.44.
At seed=446, n=100, industry=EGY, sampling_method=mvn_arch. at 12.1.
At seed=447, n=100, industry=EGY, sampling_method=mvn_arch. at 12.85.
At seed=448, n=100, industry=EGY, sampling_method=mvn_arch. at 13.57.
At seed=449, n=100, industry=EGY, sampling_method=mvn_arch. at 14.33.
At seed=450, n=100, industry=EGY, sampling_method=mvn_arch. at 14.85.
At seed=446, n=200, industry=EGY, sampling_method=ar1. at 15.41.
At seed=447, n=200, industry=EGY, sampling_method=ar1. at 16.4.
At seed=448, n=200, industry=EGY, sampling_method=ar1. at 17.26.
At seed=449, n=200, industry=EGY, sampling_method=ar1. at 18.25.
At seed=450, n=200, industry=EGY, sampling_method=ar1. at 19.13.
At seed=446, n=200, industry=EGY, sampling_method=garch. at 20.05.
At seed=447, n=200, industry=EGY, sampling_method=garch. at 20.94.
At seed=448, n=200, industry=EGY, sampling_method=garch. at 21.88.
At seed=449, n=200, industry=EGY, sampling_method=garch. at 22.82.
At seed=450, n=200, industry=EGY, sampling_method=garch. at 23.82.
At seed=446, n=200, industry=EGY, sampling_method=garch_ar1. at 24.73.
At seed=447, n=200, industry=EGY, sampling_method=garch_ar1. at 25.62.
At seed=448, n=200, industry=EGY, sampling_method=garch_ar1. at 26.62.
At seed=449, n=200, industry=EGY, sampling_method=garch_ar1. at 27.55.
At seed=450, n=200, industry=EGY, sampling_method=garch_ar1. at 28.67.
At seed=446, n=200, industry=EGY, sampling_method=mvn_arch. at 29.58.
At seed=447, n=200, industry=EGY, sampling_method=mvn_arch. at 30.51.
At seed=448, n=200, industry=EGY, sampling_method=mvn_arch. at 31.5.
At seed=449, n=200, industry=EGY, sampling_method=mvn_arch. at 32.38.
At seed=450, n=200, industry=EGY, sampling_method=mvn_arch. at 33.32.
At seed=446, n=300, industry=EGY, sampling_method=ar1. at 34.2.
At seed=447, n=300, industry=EGY, sampling_method=ar1. at 35.48.
At seed=448, n=300, industry=EGY, sampling_method=ar1. at 36.71.
At seed=449, n=300, industry=EGY, sampling_method=ar1. at 37.91.
At seed=450, n=300, industry=EGY, sampling_method=ar1. at 39.14.
At seed=446, n=300, industry=EGY, sampling_method=garch. at 40.37.
At seed=447, n=300, industry=EGY, sampling_method=garch. at 41.71.
At seed=448, n=300, industry=EGY, sampling_method=garch. at 42.96.
At seed=449, n=300, industry=EGY, sampling_method=garch. at 44.29.
At seed=450, n=300, industry=EGY, sampling_method=garch. at 45.65.
At seed=446, n=300, industry=EGY, sampling_method=garch_ar1. at 46.94.
At seed=447, n=300, industry=EGY, sampling_method=garch_ar1. at 48.21.
At seed=448, n=300, industry=EGY, sampling_method=garch_ar1. at 49.52.
At seed=449, n=300, industry=EGY, sampling_method=garch_ar1. at 50.72.
At seed=450, n=300, industry=EGY, sampling_method=garch_ar1. at 52.23.
At seed=446, n=300, industry=EGY, sampling_method=mvn_arch. at 53.75.
At seed=447, n=300, industry=EGY, sampling_method=mvn_arch. at 54.98.
At seed=448, n=300, industry=EGY, sampling_method=mvn_arch. at 56.22.
At seed=449, n=300, industry=EGY, sampling_method=mvn_arch. at 57.43.
At seed=450, n=300, industry=EGY, sampling_method=mvn_arch. at 58.66.
At seed=446, n=400, industry=EGY, sampling_method=ar1. at 59.89.
At seed=447, n=400, industry=EGY, sampling_method=ar1. at 61.68.
At seed=448, n=400, industry=EGY, sampling_method=ar1. at 63.34.
At seed=449, n=400, industry=EGY, sampling_method=ar1. at 65.03.
At seed=450, n=400, industry=EGY, sampling_method=ar1. at 66.71.
At seed=446, n=400, industry=EGY, sampling_method=garch. at 68.48.
At seed=447, n=400, industry=EGY, sampling_method=garch. at 70.21.
At seed=448, n=400, industry=EGY, sampling_method=garch. at 71.83.
At seed=449, n=400, industry=EGY, sampling_method=garch. at 73.53.
At seed=450, n=400, industry=EGY, sampling_method=garch. at 75.2.
At seed=446, n=400, industry=EGY, sampling_method=garch_ar1. at 76.9.
At seed=447, n=400, industry=EGY, sampling_method=garch_ar1. at 78.63.
At seed=448, n=400, industry=EGY, sampling_method=garch_ar1. at 80.35.
At seed=449, n=400, industry=EGY, sampling_method=garch_ar1. at 82.1.
At seed=450, n=400, industry=EGY, sampling_method=garch_ar1. at 83.77.
At seed=446, n=400, industry=EGY, sampling_method=mvn_arch. at 85.45.
At seed=447, n=400, industry=EGY, sampling_method=mvn_arch. at 87.2.
At seed=448, n=400, industry=EGY, sampling_method=mvn_arch. at 88.99.
At seed=449, n=400, industry=EGY, sampling_method=mvn_arch. at 90.62.
At seed=450, n=400, industry=EGY, sampling_method=mvn_arch. at 92.27.
At seed=446, n=500, industry=EGY, sampling_method=ar1. at 93.91.
At seed=447, n=500, industry=EGY, sampling_method=ar1. at 95.75.
At seed=448, n=500, industry=EGY, sampling_method=ar1. at 97.77.
At seed=449, n=500, industry=EGY, sampling_method=ar1. at 99.78.
At seed=450, n=500, industry=EGY, sampling_method=ar1. at 101.62.
At seed=446, n=500, industry=EGY, sampling_method=garch. at 103.44.
At seed=447, n=500, industry=EGY, sampling_method=garch. at 105.35.
At seed=448, n=500, industry=EGY, sampling_method=garch. at 107.15.
At seed=449, n=500, industry=EGY, sampling_method=garch. at 109.06.
At seed=450, n=500, industry=EGY, sampling_method=garch. at 111.02.
At seed=446, n=500, industry=EGY, sampling_method=garch_ar1. at 112.85.
At seed=447, n=500, industry=EGY, sampling_method=garch_ar1. at 114.81.
At seed=448, n=500, industry=EGY, sampling_method=garch_ar1. at 116.82.
At seed=449, n=500, industry=EGY, sampling_method=garch_ar1. at 118.83.
At seed=450, n=500, industry=EGY, sampling_method=garch_ar1. at 120.98.
At seed=446, n=500, industry=EGY, sampling_method=mvn_arch. at 122.79.
At seed=447, n=500, industry=EGY, sampling_method=mvn_arch. at 124.57.
At seed=448, n=500, industry=EGY, sampling_method=mvn_arch. at 126.47.
At seed=449, n=500, industry=EGY, sampling_method=mvn_arch. at 128.43.
At seed=450, n=500, industry=EGY, sampling_method=mvn_arch. at 130.61.
At seed=446, n=100, industry=FIN, sampling_method=ar1. at 132.41.
At seed=447, n=100, industry=FIN, sampling_method=ar1. at 135.09.
At seed=448, n=100, industry=FIN, sampling_method=ar1. at 137.7.
At seed=449, n=100, industry=FIN, sampling_method=ar1. at 140.28.
At seed=450, n=100, industry=FIN, sampling_method=ar1. at 142.84.
At seed=446, n=100, industry=FIN, sampling_method=garch. at 145.46.
At seed=447, n=100, industry=FIN, sampling_method=garch. at 148.27.
At seed=448, n=100, industry=FIN, sampling_method=garch. at 150.94.
At seed=449, n=100, industry=FIN, sampling_method=garch. at 153.52.
At seed=450, n=100, industry=FIN, sampling_method=garch. at 156.25.
At seed=446, n=100, industry=FIN, sampling_method=garch_ar1. at 159.0.
At seed=447, n=100, industry=FIN, sampling_method=garch_ar1. at 161.77.
At seed=448, n=100, industry=FIN, sampling_method=garch_ar1. at 164.66.
At seed=449, n=100, industry=FIN, sampling_method=garch_ar1. at 167.42.
At seed=450, n=100, industry=FIN, sampling_method=garch_ar1. at 170.2.
At seed=446, n=100, industry=FIN, sampling_method=mvn_arch. at 172.9.
At seed=447, n=100, industry=FIN, sampling_method=mvn_arch. at 175.75.
At seed=448, n=100, industry=FIN, sampling_method=mvn_arch. at 178.61.
At seed=449, n=100, industry=FIN, sampling_method=mvn_arch. at 181.37.
At seed=450, n=100, industry=FIN, sampling_method=mvn_arch. at 183.96.
At seed=446, n=200, industry=FIN, sampling_method=ar1. at 186.63.
At seed=447, n=200, industry=FIN, sampling_method=ar1. at 190.68.
At seed=448, n=200, industry=FIN, sampling_method=ar1. at 194.65.
At seed=449, n=200, industry=FIN, sampling_method=ar1. at 198.93.
At seed=450, n=200, industry=FIN, sampling_method=ar1. at 203.03.
At seed=446, n=200, industry=FIN, sampling_method=garch. at 207.13.
At seed=447, n=200, industry=FIN, sampling_method=garch. at 211.48.
At seed=448, n=200, industry=FIN, sampling_method=garch. at 215.77.
At seed=449, n=200, industry=FIN, sampling_method=garch. at 220.02.
At seed=450, n=200, industry=FIN, sampling_method=garch. at 224.15.
At seed=446, n=200, industry=FIN, sampling_method=garch_ar1. at 228.4.
At seed=447, n=200, industry=FIN, sampling_method=garch_ar1. at 232.5.
At seed=448, n=200, industry=FIN, sampling_method=garch_ar1. at 236.6.
At seed=449, n=200, industry=FIN, sampling_method=garch_ar1. at 240.79.
At seed=450, n=200, industry=FIN, sampling_method=garch_ar1. at 245.12.
At seed=446, n=200, industry=FIN, sampling_method=mvn_arch. at 249.26.
At seed=447, n=200, industry=FIN, sampling_method=mvn_arch. at 253.42.
At seed=448, n=200, industry=FIN, sampling_method=mvn_arch. at 257.44.
At seed=449, n=200, industry=FIN, sampling_method=mvn_arch. at 261.52.
At seed=450, n=200, industry=FIN, sampling_method=mvn_arch. at 265.57.
At seed=446, n=300, industry=FIN, sampling_method=ar1. at 269.74.
At seed=447, n=300, industry=FIN, sampling_method=ar1. at 275.13.
At seed=448, n=300, industry=FIN, sampling_method=ar1. at 280.74.
At seed=449, n=300, industry=FIN, sampling_method=ar1. at 286.07.
At seed=450, n=300, industry=FIN, sampling_method=ar1. at 291.41.
At seed=446, n=300, industry=FIN, sampling_method=garch. at 296.7.
At seed=447, n=300, industry=FIN, sampling_method=garch. at 301.91.
At seed=448, n=300, industry=FIN, sampling_method=garch. at 307.53.
At seed=449, n=300, industry=FIN, sampling_method=garch. at 313.12.
At seed=450, n=300, industry=FIN, sampling_method=garch. at 318.45.
At seed=446, n=300, industry=FIN, sampling_method=garch_ar1. at 323.75.
At seed=447, n=300, industry=FIN, sampling_method=garch_ar1. at 328.94.
At seed=448, n=300, industry=FIN, sampling_method=garch_ar1. at 334.36.
At seed=449, n=300, industry=FIN, sampling_method=garch_ar1. at 339.5.
At seed=450, n=300, industry=FIN, sampling_method=garch_ar1. at 344.82.
At seed=446, n=300, industry=FIN, sampling_method=mvn_arch. at 350.2.
At seed=447, n=300, industry=FIN, sampling_method=mvn_arch. at 355.35.
At seed=448, n=300, industry=FIN, sampling_method=mvn_arch. at 360.72.
At seed=449, n=300, industry=FIN, sampling_method=mvn_arch. at 365.88.
At seed=450, n=300, industry=FIN, sampling_method=mvn_arch. at 371.12.
At seed=446, n=400, industry=FIN, sampling_method=ar1. at 376.26.
At seed=447, n=400, industry=FIN, sampling_method=ar1. at 382.98.
At seed=448, n=400, industry=FIN, sampling_method=ar1. at 390.13.
At seed=449, n=400, industry=FIN, sampling_method=ar1. at 397.06.
At seed=450, n=400, industry=FIN, sampling_method=ar1. at 403.89.
At seed=446, n=400, industry=FIN, sampling_method=garch. at 410.8.
At seed=447, n=400, industry=FIN, sampling_method=garch. at 417.82.
At seed=448, n=400, industry=FIN, sampling_method=garch. at 424.99.
At seed=449, n=400, industry=FIN, sampling_method=garch. at 432.02.
At seed=450, n=400, industry=FIN, sampling_method=garch. at 438.88.
At seed=446, n=400, industry=FIN, sampling_method=garch_ar1. at 445.83.
At seed=447, n=400, industry=FIN, sampling_method=garch_ar1. at 453.06.
At seed=448, n=400, industry=FIN, sampling_method=garch_ar1. at 459.97.
At seed=449, n=400, industry=FIN, sampling_method=garch_ar1. at 466.89.
At seed=450, n=400, industry=FIN, sampling_method=garch_ar1. at 473.87.
At seed=446, n=400, industry=FIN, sampling_method=mvn_arch. at 480.76.
At seed=447, n=400, industry=FIN, sampling_method=mvn_arch. at 487.76.
At seed=448, n=400, industry=FIN, sampling_method=mvn_arch. at 494.73.
At seed=449, n=400, industry=FIN, sampling_method=mvn_arch. at 501.75.
At seed=450, n=400, industry=FIN, sampling_method=mvn_arch. at 508.83.
At seed=446, n=500, industry=FIN, sampling_method=ar1. at 515.83.
At seed=447, n=500, industry=FIN, sampling_method=ar1. at 524.14.
At seed=448, n=500, industry=FIN, sampling_method=ar1. at 532.61.
At seed=449, n=500, industry=FIN, sampling_method=ar1. at 540.95.
At seed=450, n=500, industry=FIN, sampling_method=ar1. at 549.39.
At seed=446, n=500, industry=FIN, sampling_method=garch. at 557.58.
At seed=447, n=500, industry=FIN, sampling_method=garch. at 565.93.
At seed=448, n=500, industry=FIN, sampling_method=garch. at 574.25.
At seed=449, n=500, industry=FIN, sampling_method=garch. at 582.66.
At seed=450, n=500, industry=FIN, sampling_method=garch. at 591.02.
At seed=446, n=500, industry=FIN, sampling_method=garch_ar1. at 599.33.
At seed=447, n=500, industry=FIN, sampling_method=garch_ar1. at 607.63.
At seed=448, n=500, industry=FIN, sampling_method=garch_ar1. at 615.84.
At seed=449, n=500, industry=FIN, sampling_method=garch_ar1. at 624.07.
At seed=450, n=500, industry=FIN, sampling_method=garch_ar1. at 632.44.
At seed=446, n=500, industry=FIN, sampling_method=mvn_arch. at 640.86.
At seed=447, n=500, industry=FIN, sampling_method=mvn_arch. at 649.19.
At seed=448, n=500, industry=FIN, sampling_method=mvn_arch. at 657.58.
At seed=449, n=500, industry=FIN, sampling_method=mvn_arch. at 666.01.
At seed=450, n=500, industry=FIN, sampling_method=mvn_arch. at 674.31.
At seed=446, n=100, industry=HLC, sampling_method=ar1. at 682.47.
At seed=447, n=100, industry=HLC, sampling_method=ar1. at 684.04.
At seed=448, n=100, industry=HLC, sampling_method=ar1. at 685.61.
At seed=449, n=100, industry=HLC, sampling_method=ar1. at 687.03.
At seed=450, n=100, industry=HLC, sampling_method=ar1. at 688.53.
At seed=446, n=100, industry=HLC, sampling_method=garch. at 690.13.
At seed=447, n=100, industry=HLC, sampling_method=garch. at 691.94.
At seed=448, n=100, industry=HLC, sampling_method=garch. at 693.63.
At seed=449, n=100, industry=HLC, sampling_method=garch. at 695.33.
At seed=450, n=100, industry=HLC, sampling_method=garch. at 696.95.
At seed=446, n=100, industry=HLC, sampling_method=garch_ar1. at 698.57.
At seed=447, n=100, industry=HLC, sampling_method=garch_ar1. at 700.09.
At seed=448, n=100, industry=HLC, sampling_method=garch_ar1. at 701.6.
At seed=449, n=100, industry=HLC, sampling_method=garch_ar1. at 703.36.
At seed=450, n=100, industry=HLC, sampling_method=garch_ar1. at 705.07.
At seed=446, n=100, industry=HLC, sampling_method=mvn_arch. at 706.59.
At seed=447, n=100, industry=HLC, sampling_method=mvn_arch. at 708.1.
At seed=448, n=100, industry=HLC, sampling_method=mvn_arch. at 709.85.
At seed=449, n=100, industry=HLC, sampling_method=mvn_arch. at 711.52.
At seed=450, n=100, industry=HLC, sampling_method=mvn_arch. at 713.17.
At seed=446, n=200, industry=HLC, sampling_method=ar1. at 714.69.
At seed=447, n=200, industry=HLC, sampling_method=ar1. at 717.3.
At seed=448, n=200, industry=HLC, sampling_method=ar1. at 719.95.
At seed=449, n=200, industry=HLC, sampling_method=ar1. at 722.68.
At seed=450, n=200, industry=HLC, sampling_method=ar1. at 725.32.
At seed=446, n=200, industry=HLC, sampling_method=garch. at 728.02.
At seed=447, n=200, industry=HLC, sampling_method=garch. at 730.8.
At seed=448, n=200, industry=HLC, sampling_method=garch. at 733.35.
At seed=449, n=200, industry=HLC, sampling_method=garch. at 736.01.
At seed=450, n=200, industry=HLC, sampling_method=garch. at 738.66.
At seed=446, n=200, industry=HLC, sampling_method=garch_ar1. at 741.23.
At seed=447, n=200, industry=HLC, sampling_method=garch_ar1. at 743.84.
At seed=448, n=200, industry=HLC, sampling_method=garch_ar1. at 746.5.
At seed=449, n=200, industry=HLC, sampling_method=garch_ar1. at 749.15.
At seed=450, n=200, industry=HLC, sampling_method=garch_ar1. at 751.89.
At seed=446, n=200, industry=HLC, sampling_method=mvn_arch. at 754.57.
At seed=447, n=200, industry=HLC, sampling_method=mvn_arch. at 757.23.
At seed=448, n=200, industry=HLC, sampling_method=mvn_arch. at 759.88.
At seed=449, n=200, industry=HLC, sampling_method=mvn_arch. at 762.54.
At seed=450, n=200, industry=HLC, sampling_method=mvn_arch. at 765.2.
