Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-44-48/
At seed=291, n=100, industry=EGY, sampling_method=ar1. at 0.19.
At seed=292, n=100, industry=EGY, sampling_method=ar1. at 0.5.
At seed=293, n=100, industry=EGY, sampling_method=ar1. at 0.82.
At seed=294, n=100, industry=EGY, sampling_method=ar1. at 1.12.
At seed=295, n=100, industry=EGY, sampling_method=ar1. at 1.42.
At seed=291, n=100, industry=EGY, sampling_method=garch. at 1.73.
At seed=292, n=100, industry=EGY, sampling_method=garch. at 2.05.
At seed=293, n=100, industry=EGY, sampling_method=garch. at 2.37.
At seed=294, n=100, industry=EGY, sampling_method=garch. at 2.69.
At seed=295, n=100, industry=EGY, sampling_method=garch. at 3.02.
At seed=291, n=100, industry=EGY, sampling_method=garch_ar1. at 3.35.
At seed=292, n=100, industry=EGY, sampling_method=garch_ar1. at 3.69.
At seed=293, n=100, industry=EGY, sampling_method=garch_ar1. at 4.04.
At seed=294, n=100, industry=EGY, sampling_method=garch_ar1. at 4.4.
At seed=295, n=100, industry=EGY, sampling_method=garch_ar1. at 4.76.
At seed=291, n=100, industry=EGY, sampling_method=mvn_arch. at 5.2.
At seed=292, n=100, industry=EGY, sampling_method=mvn_arch. at 5.65.
At seed=293, n=100, industry=EGY, sampling_method=mvn_arch. at 6.08.
At seed=294, n=100, industry=EGY, sampling_method=mvn_arch. at 6.57.
At seed=295, n=100, industry=EGY, sampling_method=mvn_arch. at 7.06.
At seed=291, n=200, industry=EGY, sampling_method=ar1. at 7.62.
At seed=292, n=200, industry=EGY, sampling_method=ar1. at 8.6.
At seed=293, n=200, industry=EGY, sampling_method=ar1. at 9.54.
At seed=294, n=200, industry=EGY, sampling_method=ar1. at 22.54.
At seed=295, n=200, industry=EGY, sampling_method=ar1. at 23.23.
At seed=291, n=200, industry=EGY, sampling_method=garch. at 23.9.
At seed=292, n=200, industry=EGY, sampling_method=garch. at 24.59.
At seed=293, n=200, industry=EGY, sampling_method=garch. at 25.26.
At seed=294, n=200, industry=EGY, sampling_method=garch. at 25.93.
At seed=295, n=200, industry=EGY, sampling_method=garch. at 26.6.
At seed=291, n=200, industry=EGY, sampling_method=garch_ar1. at 27.28.
At seed=292, n=200, industry=EGY, sampling_method=garch_ar1. at 27.97.
At seed=293, n=200, industry=EGY, sampling_method=garch_ar1. at 28.65.
At seed=294, n=200, industry=EGY, sampling_method=garch_ar1. at 29.33.
At seed=295, n=200, industry=EGY, sampling_method=garch_ar1. at 29.99.
At seed=291, n=200, industry=EGY, sampling_method=mvn_arch. at 30.66.
At seed=292, n=200, industry=EGY, sampling_method=mvn_arch. at 31.32.
At seed=293, n=200, industry=EGY, sampling_method=mvn_arch. at 31.98.
At seed=294, n=200, industry=EGY, sampling_method=mvn_arch. at 32.64.
At seed=295, n=200, industry=EGY, sampling_method=mvn_arch. at 33.29.
At seed=291, n=300, industry=EGY, sampling_method=ar1. at 33.95.
At seed=292, n=300, industry=EGY, sampling_method=ar1. at 34.9.
At seed=293, n=300, industry=EGY, sampling_method=ar1. at 35.85.
At seed=294, n=300, industry=EGY, sampling_method=ar1. at 36.8.
At seed=295, n=300, industry=EGY, sampling_method=ar1. at 37.74.
At seed=291, n=300, industry=EGY, sampling_method=garch. at 38.68.
At seed=292, n=300, industry=EGY, sampling_method=garch. at 39.65.
At seed=293, n=300, industry=EGY, sampling_method=garch. at 40.63.
At seed=294, n=300, industry=EGY, sampling_method=garch. at 41.61.
At seed=295, n=300, industry=EGY, sampling_method=garch. at 42.59.
At seed=291, n=300, industry=EGY, sampling_method=garch_ar1. at 43.55.
At seed=292, n=300, industry=EGY, sampling_method=garch_ar1. at 44.51.
At seed=293, n=300, industry=EGY, sampling_method=garch_ar1. at 45.46.
At seed=294, n=300, industry=EGY, sampling_method=garch_ar1. at 46.41.
At seed=295, n=300, industry=EGY, sampling_method=garch_ar1. at 47.36.
At seed=291, n=300, industry=EGY, sampling_method=mvn_arch. at 48.31.
At seed=292, n=300, industry=EGY, sampling_method=mvn_arch. at 49.25.
At seed=293, n=300, industry=EGY, sampling_method=mvn_arch. at 50.17.
At seed=294, n=300, industry=EGY, sampling_method=mvn_arch. at 51.09.
At seed=295, n=300, industry=EGY, sampling_method=mvn_arch. at 52.01.
At seed=291, n=400, industry=EGY, sampling_method=ar1. at 52.91.
At seed=292, n=400, industry=EGY, sampling_method=ar1. at 54.18.
At seed=293, n=400, industry=EGY, sampling_method=ar1. at 55.46.
At seed=294, n=400, industry=EGY, sampling_method=ar1. at 56.71.
At seed=295, n=400, industry=EGY, sampling_method=ar1. at 57.96.
At seed=291, n=400, industry=EGY, sampling_method=garch. at 59.23.
