Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-47-58/
At seed=456, n=100, industry=EGY, sampling_method=ar1. at 0.02.
At seed=457, n=100, industry=EGY, sampling_method=ar1. at 0.48.
At seed=458, n=100, industry=EGY, sampling_method=ar1. at 0.92.
At seed=459, n=100, industry=EGY, sampling_method=ar1. at 1.34.
At seed=460, n=100, industry=EGY, sampling_method=ar1. at 1.76.
At seed=456, n=100, industry=EGY, sampling_method=garch. at 2.18.
At seed=457, n=100, industry=EGY, sampling_method=garch. at 2.61.
At seed=458, n=100, industry=EGY, sampling_method=garch. at 3.04.
At seed=459, n=100, industry=EGY, sampling_method=garch. at 3.47.
At seed=460, n=100, industry=EGY, sampling_method=garch. at 3.89.
At seed=456, n=100, industry=EGY, sampling_method=garch_ar1. at 4.32.
At seed=457, n=100, industry=EGY, sampling_method=garch_ar1. at 4.74.
At seed=458, n=100, industry=EGY, sampling_method=garch_ar1. at 5.17.
At seed=459, n=100, industry=EGY, sampling_method=garch_ar1. at 5.59.
At seed=460, n=100, industry=EGY, sampling_method=garch_ar1. at 6.02.
At seed=456, n=100, industry=EGY, sampling_method=mvn_arch. at 6.45.
At seed=457, n=100, industry=EGY, sampling_method=mvn_arch. at 6.87.
At seed=458, n=100, industry=EGY, sampling_method=mvn_arch. at 7.3.
At seed=459, n=100, industry=EGY, sampling_method=mvn_arch. at 7.72.
At seed=460, n=100, industry=EGY, sampling_method=mvn_arch. at 8.14.
At seed=456, n=200, industry=EGY, sampling_method=ar1. at 8.56.
At seed=457, n=200, industry=EGY, sampling_method=ar1. at 9.3.
At seed=458, n=200, industry=EGY, sampling_method=ar1. at 10.04.
At seed=459, n=200, industry=EGY, sampling_method=ar1. at 10.78.
At seed=460, n=200, industry=EGY, sampling_method=ar1. at 11.51.
At seed=456, n=200, industry=EGY, sampling_method=garch. at 12.25.
At seed=457, n=200, industry=EGY, sampling_method=garch. at 13.0.
At seed=458, n=200, industry=EGY, sampling_method=garch. at 13.74.
At seed=459, n=200, industry=EGY, sampling_method=garch. at 14.48.
At seed=460, n=200, industry=EGY, sampling_method=garch. at 15.23.
At seed=456, n=200, industry=EGY, sampling_method=garch_ar1. at 15.97.
At seed=457, n=200, industry=EGY, sampling_method=garch_ar1. at 16.72.
At seed=458, n=200, industry=EGY, sampling_method=garch_ar1. at 17.46.
At seed=459, n=200, industry=EGY, sampling_method=garch_ar1. at 18.2.
At seed=460, n=200, industry=EGY, sampling_method=garch_ar1. at 18.95.
At seed=456, n=200, industry=EGY, sampling_method=mvn_arch. at 19.7.
At seed=457, n=200, industry=EGY, sampling_method=mvn_arch. at 20.44.
At seed=458, n=200, industry=EGY, sampling_method=mvn_arch. at 21.18.
At seed=459, n=200, industry=EGY, sampling_method=mvn_arch. at 21.92.
At seed=460, n=200, industry=EGY, sampling_method=mvn_arch. at 22.65.
At seed=456, n=300, industry=EGY, sampling_method=ar1. at 23.4.
At seed=457, n=300, industry=EGY, sampling_method=ar1. at 24.45.
At seed=458, n=300, industry=EGY, sampling_method=ar1. at 25.49.
At seed=459, n=300, industry=EGY, sampling_method=ar1. at 26.54.
At seed=460, n=300, industry=EGY, sampling_method=ar1. at 27.59.
At seed=456, n=300, industry=EGY, sampling_method=garch. at 28.63.
