Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-48-39/
At seed=491, n=100, industry=EGY, sampling_method=ar1. at 0.04.
At seed=492, n=100, industry=EGY, sampling_method=ar1. at 0.3.
At seed=493, n=100, industry=EGY, sampling_method=ar1. at 0.52.
At seed=494, n=100, industry=EGY, sampling_method=ar1. at 0.74.
At seed=495, n=100, industry=EGY, sampling_method=ar1. at 0.96.
At seed=491, n=100, industry=EGY, sampling_method=garch. at 1.18.
At seed=492, n=100, industry=EGY, sampling_method=garch. at 1.41.
At seed=493, n=100, industry=EGY, sampling_method=garch. at 1.65.
At seed=494, n=100, industry=EGY, sampling_method=garch. at 1.89.
At seed=495, n=100, industry=EGY, sampling_method=garch. at 2.13.
At seed=491, n=100, industry=EGY, sampling_method=garch_ar1. at 2.37.
At seed=492, n=100, industry=EGY, sampling_method=garch_ar1. at 2.61.
At seed=493, n=100, industry=EGY, sampling_method=garch_ar1. at 2.84.
At seed=494, n=100, industry=EGY, sampling_method=garch_ar1. at 3.06.
At seed=495, n=100, industry=EGY, sampling_method=garch_ar1. at 3.29.
At seed=491, n=100, industry=EGY, sampling_method=mvn_arch. at 3.52.
At seed=492, n=100, industry=EGY, sampling_method=mvn_arch. at 3.74.
At seed=493, n=100, industry=EGY, sampling_method=mvn_arch. at 3.96.
At seed=494, n=100, industry=EGY, sampling_method=mvn_arch. at 4.19.
At seed=495, n=100, industry=EGY, sampling_method=mvn_arch. at 4.41.
At seed=491, n=200, industry=EGY, sampling_method=ar1. at 4.63.
At seed=492, n=200, industry=EGY, sampling_method=ar1. at 5.01.
At seed=493, n=200, industry=EGY, sampling_method=ar1. at 5.38.
At seed=494, n=200, industry=EGY, sampling_method=ar1. at 5.75.
At seed=495, n=200, industry=EGY, sampling_method=ar1. at 6.12.
At seed=491, n=200, industry=EGY, sampling_method=garch. at 6.49.
At seed=492, n=200, industry=EGY, sampling_method=garch. at 6.87.
At seed=493, n=200, industry=EGY, sampling_method=garch. at 7.25.
At seed=494, n=200, industry=EGY, sampling_method=garch. at 7.63.
At seed=495, n=200, industry=EGY, sampling_method=garch. at 8.01.
At seed=491, n=200, industry=EGY, sampling_method=garch_ar1. at 8.39.
At seed=492, n=200, industry=EGY, sampling_method=garch_ar1. at 8.77.
At seed=493, n=200, industry=EGY, sampling_method=garch_ar1. at 9.16.
At seed=494, n=200, industry=EGY, sampling_method=garch_ar1. at 9.54.
At seed=495, n=200, industry=EGY, sampling_method=garch_ar1. at 9.92.
At seed=491, n=200, industry=EGY, sampling_method=mvn_arch. at 10.29.
At seed=492, n=200, industry=EGY, sampling_method=mvn_arch. at 10.67.
At seed=493, n=200, industry=EGY, sampling_method=mvn_arch. at 11.04.
At seed=494, n=200, industry=EGY, sampling_method=mvn_arch. at 11.41.
At seed=495, n=200, industry=EGY, sampling_method=mvn_arch. at 11.79.
At seed=491, n=300, industry=EGY, sampling_method=ar1. at 12.16.
At seed=492, n=300, industry=EGY, sampling_method=ar1. at 12.69.
At seed=493, n=300, industry=EGY, sampling_method=ar1. at 13.22.
At seed=494, n=300, industry=EGY, sampling_method=ar1. at 13.76.
At seed=495, n=300, industry=EGY, sampling_method=ar1. at 14.29.
At seed=491, n=300, industry=EGY, sampling_method=garch. at 14.82.
At seed=492, n=300, industry=EGY, sampling_method=garch. at 15.36.
At seed=493, n=300, industry=EGY, sampling_method=garch. at 15.9.
At seed=494, n=300, industry=EGY, sampling_method=garch. at 16.45.
At seed=495, n=300, industry=EGY, sampling_method=garch. at 16.99.
At seed=491, n=300, industry=EGY, sampling_method=garch_ar1. at 17.53.
At seed=492, n=300, industry=EGY, sampling_method=garch_ar1. at 18.07.
At seed=493, n=300, industry=EGY, sampling_method=garch_ar1. at 18.62.
At seed=494, n=300, industry=EGY, sampling_method=garch_ar1. at 19.16.
At seed=495, n=300, industry=EGY, sampling_method=garch_ar1. at 19.7.
At seed=491, n=300, industry=EGY, sampling_method=mvn_arch. at 20.24.
At seed=492, n=300, industry=EGY, sampling_method=mvn_arch. at 20.78.
At seed=493, n=300, industry=EGY, sampling_method=mvn_arch. at 21.31.
At seed=494, n=300, industry=EGY, sampling_method=mvn_arch. at 21.84.
At seed=495, n=300, industry=EGY, sampling_method=mvn_arch. at 22.37.
At seed=491, n=400, industry=EGY, sampling_method=ar1. at 22.91.
At seed=492, n=400, industry=EGY, sampling_method=ar1. at 23.65.
At seed=493, n=400, industry=EGY, sampling_method=ar1. at 24.4.
At seed=494, n=400, industry=EGY, sampling_method=ar1. at 25.15.
At seed=495, n=400, industry=EGY, sampling_method=ar1. at 25.89.
At seed=491, n=400, industry=EGY, sampling_method=garch. at 26.64.
At seed=492, n=400, industry=EGY, sampling_method=garch. at 27.4.
At seed=493, n=400, industry=EGY, sampling_method=garch. at 28.16.
At seed=494, n=400, industry=EGY, sampling_method=garch. at 28.92.
At seed=495, n=400, industry=EGY, sampling_method=garch. at 29.68.
At seed=491, n=400, industry=EGY, sampling_method=garch_ar1. at 30.45.
At seed=492, n=400, industry=EGY, sampling_method=garch_ar1. at 31.21.
At seed=493, n=400, industry=EGY, sampling_method=garch_ar1. at 31.97.
At seed=494, n=400, industry=EGY, sampling_method=garch_ar1. at 32.73.
At seed=495, n=400, industry=EGY, sampling_method=garch_ar1. at 33.49.
At seed=491, n=400, industry=EGY, sampling_method=mvn_arch. at 34.26.
At seed=492, n=400, industry=EGY, sampling_method=mvn_arch. at 35.01.
At seed=493, n=400, industry=EGY, sampling_method=mvn_arch. at 35.77.
At seed=494, n=400, industry=EGY, sampling_method=mvn_arch. at 36.52.
At seed=495, n=400, industry=EGY, sampling_method=mvn_arch. at 37.27.
At seed=491, n=500, industry=EGY, sampling_method=ar1. at 38.02.
At seed=492, n=500, industry=EGY, sampling_method=ar1. at 38.86.
At seed=493, n=500, industry=EGY, sampling_method=ar1. at 39.71.
At seed=494, n=500, industry=EGY, sampling_method=ar1. at 40.56.
At seed=495, n=500, industry=EGY, sampling_method=ar1. at 41.41.
At seed=491, n=500, industry=EGY, sampling_method=garch. at 42.26.
At seed=492, n=500, industry=EGY, sampling_method=garch. at 43.12.
At seed=493, n=500, industry=EGY, sampling_method=garch. at 43.99.
At seed=494, n=500, industry=EGY, sampling_method=garch. at 44.85.
At seed=495, n=500, industry=EGY, sampling_method=garch. at 45.72.
At seed=491, n=500, industry=EGY, sampling_method=garch_ar1. at 46.59.
At seed=492, n=500, industry=EGY, sampling_method=garch_ar1. at 47.45.
At seed=493, n=500, industry=EGY, sampling_method=garch_ar1. at 48.31.
At seed=494, n=500, industry=EGY, sampling_method=garch_ar1. at 49.18.
At seed=495, n=500, industry=EGY, sampling_method=garch_ar1. at 50.04.
At seed=491, n=500, industry=EGY, sampling_method=mvn_arch. at 50.91.
At seed=492, n=500, industry=EGY, sampling_method=mvn_arch. at 51.76.
At seed=493, n=500, industry=EGY, sampling_method=mvn_arch. at 52.61.
At seed=494, n=500, industry=EGY, sampling_method=mvn_arch. at 53.46.
At seed=495, n=500, industry=EGY, sampling_method=mvn_arch. at 54.31.
At seed=491, n=100, industry=FIN, sampling_method=ar1. at 55.16.
At seed=492, n=100, industry=FIN, sampling_method=ar1. at 56.35.
At seed=493, n=100, industry=FIN, sampling_method=ar1. at 57.53.
At seed=494, n=100, industry=FIN, sampling_method=ar1. at 58.72.
At seed=495, n=100, industry=FIN, sampling_method=ar1. at 59.94.
At seed=491, n=100, industry=FIN, sampling_method=garch. at 61.17.
At seed=492, n=100, industry=FIN, sampling_method=garch. at 62.41.
At seed=493, n=100, industry=FIN, sampling_method=garch. at 63.63.
At seed=494, n=100, industry=FIN, sampling_method=garch. at 64.85.
At seed=495, n=100, industry=FIN, sampling_method=garch. at 66.09.
At seed=491, n=100, industry=FIN, sampling_method=garch_ar1. at 67.32.
At seed=492, n=100, industry=FIN, sampling_method=garch_ar1. at 68.55.
At seed=493, n=100, industry=FIN, sampling_method=garch_ar1. at 69.78.
At seed=494, n=100, industry=FIN, sampling_method=garch_ar1. at 71.0.
At seed=495, n=100, industry=FIN, sampling_method=garch_ar1. at 72.23.
At seed=491, n=100, industry=FIN, sampling_method=mvn_arch. at 73.46.
At seed=492, n=100, industry=FIN, sampling_method=mvn_arch. at 74.69.
At seed=493, n=100, industry=FIN, sampling_method=mvn_arch. at 75.94.
At seed=494, n=100, industry=FIN, sampling_method=mvn_arch. at 77.17.
At seed=495, n=100, industry=FIN, sampling_method=mvn_arch. at 78.45.
At seed=491, n=200, industry=FIN, sampling_method=ar1. at 79.72.
At seed=492, n=200, industry=FIN, sampling_method=ar1. at 81.48.
At seed=493, n=200, industry=FIN, sampling_method=ar1. at 83.25.
At seed=494, n=200, industry=FIN, sampling_method=ar1. at 85.08.
At seed=495, n=200, industry=FIN, sampling_method=ar1. at 86.9.
At seed=491, n=200, industry=FIN, sampling_method=garch. at 88.73.
At seed=492, n=200, industry=FIN, sampling_method=garch. at 90.53.
At seed=493, n=200, industry=FIN, sampling_method=garch. at 92.35.
At seed=494, n=200, industry=FIN, sampling_method=garch. at 94.14.
At seed=495, n=200, industry=FIN, sampling_method=garch. at 95.95.
At seed=491, n=200, industry=FIN, sampling_method=garch_ar1. at 97.78.
At seed=492, n=200, industry=FIN, sampling_method=garch_ar1. at 99.61.
At seed=493, n=200, industry=FIN, sampling_method=garch_ar1. at 101.43.
At seed=494, n=200, industry=FIN, sampling_method=garch_ar1. at 103.22.
At seed=495, n=200, industry=FIN, sampling_method=garch_ar1. at 105.05.
At seed=491, n=200, industry=FIN, sampling_method=mvn_arch. at 106.9.
At seed=492, n=200, industry=FIN, sampling_method=mvn_arch. at 108.68.
At seed=493, n=200, industry=FIN, sampling_method=mvn_arch. at 110.5.
At seed=494, n=200, industry=FIN, sampling_method=mvn_arch. at 112.44.
At seed=495, n=200, industry=FIN, sampling_method=mvn_arch. at 114.3.
At seed=491, n=300, industry=FIN, sampling_method=ar1. at 116.13.
At seed=492, n=300, industry=FIN, sampling_method=ar1. at 118.31.
At seed=493, n=300, industry=FIN, sampling_method=ar1. at 120.49.
At seed=494, n=300, industry=FIN, sampling_method=ar1. at 122.69.
At seed=495, n=300, industry=FIN, sampling_method=ar1. at 124.9.
At seed=491, n=300, industry=FIN, sampling_method=garch. at 127.13.
At seed=492, n=300, industry=FIN, sampling_method=garch. at 129.35.
At seed=493, n=300, industry=FIN, sampling_method=garch. at 131.57.
At seed=494, n=300, industry=FIN, sampling_method=garch. at 133.78.
At seed=495, n=300, industry=FIN, sampling_method=garch. at 135.99.
At seed=491, n=300, industry=FIN, sampling_method=garch_ar1. at 138.22.
At seed=492, n=300, industry=FIN, sampling_method=garch_ar1. at 140.45.
At seed=493, n=300, industry=FIN, sampling_method=garch_ar1. at 142.65.
At seed=494, n=300, industry=FIN, sampling_method=garch_ar1. at 144.88.
At seed=495, n=300, industry=FIN, sampling_method=garch_ar1. at 147.09.
At seed=491, n=300, industry=FIN, sampling_method=mvn_arch. at 149.33.
At seed=492, n=300, industry=FIN, sampling_method=mvn_arch. at 151.55.
At seed=493, n=300, industry=FIN, sampling_method=mvn_arch. at 153.74.
At seed=494, n=300, industry=FIN, sampling_method=mvn_arch. at 155.97.
At seed=495, n=300, industry=FIN, sampling_method=mvn_arch. at 158.17.
At seed=491, n=400, industry=FIN, sampling_method=ar1. at 160.39.
At seed=492, n=400, industry=FIN, sampling_method=ar1. at 163.35.
At seed=493, n=400, industry=FIN, sampling_method=ar1. at 166.27.
At seed=494, n=400, industry=FIN, sampling_method=ar1. at 169.22.
At seed=495, n=400, industry=FIN, sampling_method=ar1. at 172.14.
At seed=491, n=400, industry=FIN, sampling_method=garch. at 175.1.
At seed=492, n=400, industry=FIN, sampling_method=garch. at 178.04.
At seed=493, n=400, industry=FIN, sampling_method=garch. at 181.06.
At seed=494, n=400, industry=FIN, sampling_method=garch. at 184.0.
At seed=495, n=400, industry=FIN, sampling_method=garch. at 186.98.
At seed=491, n=400, industry=FIN, sampling_method=garch_ar1. at 189.92.
At seed=492, n=400, industry=FIN, sampling_method=garch_ar1. at 192.91.
At seed=493, n=400, industry=FIN, sampling_method=garch_ar1. at 195.9.
At seed=494, n=400, industry=FIN, sampling_method=garch_ar1. at 198.85.
