Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-44-48/
At seed=191, n=100, industry=EGY, sampling_method=ar1. at 0.18.
At seed=192, n=100, industry=EGY, sampling_method=ar1. at 0.5.
At seed=193, n=100, industry=EGY, sampling_method=ar1. at 0.81.
At seed=194, n=100, industry=EGY, sampling_method=ar1. at 1.12.
At seed=195, n=100, industry=EGY, sampling_method=ar1. at 1.44.
At seed=191, n=100, industry=EGY, sampling_method=garch. at 1.75.
At seed=192, n=100, industry=EGY, sampling_method=garch. at 2.07.
At seed=193, n=100, industry=EGY, sampling_method=garch. at 2.38.
At seed=194, n=100, industry=EGY, sampling_method=garch. at 2.72.
At seed=195, n=100, industry=EGY, sampling_method=garch. at 3.04.
At seed=191, n=100, industry=EGY, sampling_method=garch_ar1. at 3.37.
At seed=192, n=100, industry=EGY, sampling_method=garch_ar1. at 3.72.
At seed=193, n=100, industry=EGY, sampling_method=garch_ar1. at 4.06.
At seed=194, n=100, industry=EGY, sampling_method=garch_ar1. at 4.42.
At seed=195, n=100, industry=EGY, sampling_method=garch_ar1. at 4.79.
At seed=191, n=100, industry=EGY, sampling_method=mvn_arch. at 5.19.
At seed=192, n=100, industry=EGY, sampling_method=mvn_arch. at 5.66.
At seed=193, n=100, industry=EGY, sampling_method=mvn_arch. at 6.11.
At seed=194, n=100, industry=EGY, sampling_method=mvn_arch. at 6.6.
At seed=195, n=100, industry=EGY, sampling_method=mvn_arch. at 7.06.
At seed=191, n=200, industry=EGY, sampling_method=ar1. at 7.63.
At seed=192, n=200, industry=EGY, sampling_method=ar1. at 8.83.
At seed=193, n=200, industry=EGY, sampling_method=ar1. at 10.16.
At seed=194, n=200, industry=EGY, sampling_method=ar1. at 22.58.
At seed=195, n=200, industry=EGY, sampling_method=ar1. at 23.26.
At seed=191, n=200, industry=EGY, sampling_method=garch. at 23.94.
At seed=192, n=200, industry=EGY, sampling_method=garch. at 24.62.
At seed=193, n=200, industry=EGY, sampling_method=garch. at 25.3.
At seed=194, n=200, industry=EGY, sampling_method=garch. at 25.97.
At seed=195, n=200, industry=EGY, sampling_method=garch. at 26.64.
At seed=191, n=200, industry=EGY, sampling_method=garch_ar1. at 27.32.
At seed=192, n=200, industry=EGY, sampling_method=garch_ar1. at 28.01.
At seed=193, n=200, industry=EGY, sampling_method=garch_ar1. at 28.7.
At seed=194, n=200, industry=EGY, sampling_method=garch_ar1. at 29.37.
At seed=195, n=200, industry=EGY, sampling_method=garch_ar1. at 30.04.
At seed=191, n=200, industry=EGY, sampling_method=mvn_arch. at 30.71.
