Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-42-10/
At seed=36, n=100, industry=EGY, sampling_method=ar1. at 0.03.
At seed=37, n=100, industry=EGY, sampling_method=ar1. at 0.58.
At seed=38, n=100, industry=EGY, sampling_method=ar1. at 1.05.
At seed=39, n=100, industry=EGY, sampling_method=ar1. at 1.47.
At seed=40, n=100, industry=EGY, sampling_method=ar1. at 1.87.
At seed=36, n=100, industry=EGY, sampling_method=garch. at 2.26.
At seed=37, n=100, industry=EGY, sampling_method=garch. at 2.67.
At seed=38, n=100, industry=EGY, sampling_method=garch. at 3.08.
At seed=39, n=100, industry=EGY, sampling_method=garch. at 3.48.
At seed=40, n=100, industry=EGY, sampling_method=garch. at 3.89.
At seed=36, n=100, industry=EGY, sampling_method=garch_ar1. at 4.3.
At seed=37, n=100, industry=EGY, sampling_method=garch_ar1. at 4.71.
At seed=38, n=100, industry=EGY, sampling_method=garch_ar1. at 5.14.
At seed=39, n=100, industry=EGY, sampling_method=garch_ar1. at 5.58.
At seed=40, n=100, industry=EGY, sampling_method=garch_ar1. at 6.06.
At seed=36, n=100, industry=EGY, sampling_method=mvn_arch. at 6.5.
At seed=37, n=100, industry=EGY, sampling_method=mvn_arch. at 6.94.
At seed=38, n=100, industry=EGY, sampling_method=mvn_arch. at 7.37.
At seed=39, n=100, industry=EGY, sampling_method=mvn_arch. at 7.8.
At seed=40, n=100, industry=EGY, sampling_method=mvn_arch. at 8.24.
At seed=36, n=200, industry=EGY, sampling_method=ar1. at 8.68.
At seed=37, n=200, industry=EGY, sampling_method=ar1. at 9.4.
At seed=38, n=200, industry=EGY, sampling_method=ar1. at 10.13.
At seed=39, n=200, industry=EGY, sampling_method=ar1. at 10.85.
At seed=40, n=200, industry=EGY, sampling_method=ar1. at 11.58.
At seed=36, n=200, industry=EGY, sampling_method=garch. at 12.31.
At seed=37, n=200, industry=EGY, sampling_method=garch. at 13.04.
At seed=38, n=200, industry=EGY, sampling_method=garch. at 13.78.
At seed=39, n=200, industry=EGY, sampling_method=garch. at 14.51.
At seed=40, n=200, industry=EGY, sampling_method=garch. at 15.24.
At seed=36, n=200, industry=EGY, sampling_method=garch_ar1. at 15.97.
At seed=37, n=200, industry=EGY, sampling_method=garch_ar1. at 16.71.
At seed=38, n=200, industry=EGY, sampling_method=garch_ar1. at 17.44.
At seed=39, n=200, industry=EGY, sampling_method=garch_ar1. at 18.17.
At seed=40, n=200, industry=EGY, sampling_method=garch_ar1. at 18.9.
At seed=36, n=200, industry=EGY, sampling_method=mvn_arch. at 19.63.
At seed=37, n=200, industry=EGY, sampling_method=mvn_arch. at 20.35.
At seed=38, n=200, industry=EGY, sampling_method=mvn_arch. at 21.07.
At seed=39, n=200, industry=EGY, sampling_method=mvn_arch. at 21.82.
At seed=40, n=200, industry=EGY, sampling_method=mvn_arch. at 22.54.
At seed=36, n=300, industry=EGY, sampling_method=ar1. at 23.26.
At seed=37, n=300, industry=EGY, sampling_method=ar1. at 24.27.
At seed=38, n=300, industry=EGY, sampling_method=ar1. at 25.28.
At seed=39, n=300, industry=EGY, sampling_method=ar1. at 26.3.
At seed=40, n=300, industry=EGY, sampling_method=ar1. at 27.31.
At seed=36, n=300, industry=EGY, sampling_method=garch. at 28.33.
At seed=37, n=300, industry=EGY, sampling_method=garch. at 29.36.
At seed=38, n=300, industry=EGY, sampling_method=garch. at 30.39.
At seed=39, n=300, industry=EGY, sampling_method=garch. at 31.42.
At seed=40, n=300, industry=EGY, sampling_method=garch. at 32.46.
At seed=36, n=300, industry=EGY, sampling_method=garch_ar1. at 33.56.
At seed=37, n=300, industry=EGY, sampling_method=garch_ar1. at 34.59.
At seed=38, n=300, industry=EGY, sampling_method=garch_ar1. at 35.62.
At seed=39, n=300, industry=EGY, sampling_method=garch_ar1. at 36.65.
At seed=40, n=300, industry=EGY, sampling_method=garch_ar1. at 37.7.
At seed=36, n=300, industry=EGY, sampling_method=mvn_arch. at 38.73.
At seed=37, n=300, industry=EGY, sampling_method=mvn_arch. at 39.76.
At seed=38, n=300, industry=EGY, sampling_method=mvn_arch. at 40.8.
At seed=39, n=300, industry=EGY, sampling_method=mvn_arch. at 41.82.
At seed=40, n=300, industry=EGY, sampling_method=mvn_arch. at 42.86.
At seed=36, n=400, industry=EGY, sampling_method=ar1. at 43.88.
At seed=37, n=400, industry=EGY, sampling_method=ar1. at 45.19.
At seed=38, n=400, industry=EGY, sampling_method=ar1. at 46.51.
At seed=39, n=400, industry=EGY, sampling_method=ar1. at 47.82.
At seed=40, n=400, industry=EGY, sampling_method=ar1. at 49.13.
At seed=36, n=400, industry=EGY, sampling_method=garch. at 50.45.
At seed=37, n=400, industry=EGY, sampling_method=garch. at 51.8.
At seed=38, n=400, industry=EGY, sampling_method=garch. at 53.2.
At seed=39, n=400, industry=EGY, sampling_method=garch. at 54.54.
At seed=40, n=400, industry=EGY, sampling_method=garch. at 55.88.
At seed=36, n=400, industry=EGY, sampling_method=garch_ar1. at 57.23.
At seed=37, n=400, industry=EGY, sampling_method=garch_ar1. at 58.57.
At seed=38, n=400, industry=EGY, sampling_method=garch_ar1. at 59.91.
At seed=39, n=400, industry=EGY, sampling_method=garch_ar1. at 61.24.
At seed=40, n=400, industry=EGY, sampling_method=garch_ar1. at 62.58.
At seed=36, n=400, industry=EGY, sampling_method=mvn_arch. at 63.92.
At seed=37, n=400, industry=EGY, sampling_method=mvn_arch. at 65.25.
At seed=38, n=400, industry=EGY, sampling_method=mvn_arch. at 66.58.
At seed=39, n=400, industry=EGY, sampling_method=mvn_arch. at 67.91.
At seed=40, n=400, industry=EGY, sampling_method=mvn_arch. at 69.24.
At seed=36, n=500, industry=EGY, sampling_method=ar1. at 70.57.
At seed=37, n=500, industry=EGY, sampling_method=ar1. at 72.19.
At seed=38, n=500, industry=EGY, sampling_method=ar1. at 73.84.
At seed=39, n=500, industry=EGY, sampling_method=ar1. at 75.47.
At seed=40, n=500, industry=EGY, sampling_method=ar1. at 77.13.
At seed=36, n=500, industry=EGY, sampling_method=garch. at 78.78.
At seed=37, n=500, industry=EGY, sampling_method=garch. at 80.45.
At seed=38, n=500, industry=EGY, sampling_method=garch. at 82.12.
At seed=39, n=500, industry=EGY, sampling_method=garch. at 83.79.
At seed=40, n=500, industry=EGY, sampling_method=garch. at 85.46.
At seed=36, n=500, industry=EGY, sampling_method=garch_ar1. at 87.25.
At seed=37, n=500, industry=EGY, sampling_method=garch_ar1. at 88.92.
At seed=38, n=500, industry=EGY, sampling_method=garch_ar1. at 90.59.
At seed=39, n=500, industry=EGY, sampling_method=garch_ar1. at 92.25.
At seed=40, n=500, industry=EGY, sampling_method=garch_ar1. at 93.92.
At seed=36, n=500, industry=EGY, sampling_method=mvn_arch. at 95.59.
At seed=37, n=500, industry=EGY, sampling_method=mvn_arch. at 97.24.
At seed=38, n=500, industry=EGY, sampling_method=mvn_arch. at 98.93.
At seed=39, n=500, industry=EGY, sampling_method=mvn_arch. at 100.62.
At seed=40, n=500, industry=EGY, sampling_method=mvn_arch. at 102.27.
At seed=36, n=100, industry=FIN, sampling_method=ar1. at 103.93.
At seed=37, n=100, industry=FIN, sampling_method=ar1. at 106.47.
At seed=38, n=100, industry=FIN, sampling_method=ar1. at 108.99.
At seed=39, n=100, industry=FIN, sampling_method=ar1. at 111.52.
At seed=40, n=100, industry=FIN, sampling_method=ar1. at 114.05.
At seed=36, n=100, industry=FIN, sampling_method=garch. at 116.58.
At seed=37, n=100, industry=FIN, sampling_method=garch. at 119.15.
At seed=38, n=100, industry=FIN, sampling_method=garch. at 121.68.
At seed=39, n=100, industry=FIN, sampling_method=garch. at 124.21.
At seed=40, n=100, industry=FIN, sampling_method=garch. at 126.73.
At seed=36, n=100, industry=FIN, sampling_method=garch_ar1. at 129.28.
At seed=37, n=100, industry=FIN, sampling_method=garch_ar1. at 131.83.
At seed=38, n=100, industry=FIN, sampling_method=garch_ar1. at 134.37.
At seed=39, n=100, industry=FIN, sampling_method=garch_ar1. at 136.91.
At seed=40, n=100, industry=FIN, sampling_method=garch_ar1. at 139.46.
At seed=36, n=100, industry=FIN, sampling_method=mvn_arch. at 142.0.
At seed=37, n=100, industry=FIN, sampling_method=mvn_arch. at 144.56.
At seed=38, n=100, industry=FIN, sampling_method=mvn_arch. at 147.11.
At seed=39, n=100, industry=FIN, sampling_method=mvn_arch. at 149.67.
At seed=40, n=100, industry=FIN, sampling_method=mvn_arch. at 152.22.
At seed=36, n=200, industry=FIN, sampling_method=ar1. at 154.76.
At seed=37, n=200, industry=FIN, sampling_method=ar1. at 158.35.
At seed=38, n=200, industry=FIN, sampling_method=ar1. at 161.92.
At seed=39, n=200, industry=FIN, sampling_method=ar1. at 165.56.
At seed=40, n=200, industry=FIN, sampling_method=ar1. at 169.21.
At seed=36, n=200, industry=FIN, sampling_method=garch. at 172.82.
At seed=37, n=200, industry=FIN, sampling_method=garch. at 176.49.
At seed=38, n=200, industry=FIN, sampling_method=garch. at 180.11.
At seed=39, n=200, industry=FIN, sampling_method=garch. at 183.75.
At seed=40, n=200, industry=FIN, sampling_method=garch. at 187.45.
At seed=36, n=200, industry=FIN, sampling_method=garch_ar1. at 191.07.
At seed=37, n=200, industry=FIN, sampling_method=garch_ar1. at 194.71.
At seed=38, n=200, industry=FIN, sampling_method=garch_ar1. at 198.35.
At seed=39, n=200, industry=FIN, sampling_method=garch_ar1. at 201.99.
At seed=40, n=200, industry=FIN, sampling_method=garch_ar1. at 205.62.
At seed=36, n=200, industry=FIN, sampling_method=mvn_arch. at 209.28.
At seed=37, n=200, industry=FIN, sampling_method=mvn_arch. at 212.92.
At seed=38, n=200, industry=FIN, sampling_method=mvn_arch. at 216.58.
At seed=39, n=200, industry=FIN, sampling_method=mvn_arch. at 220.23.
At seed=40, n=200, industry=FIN, sampling_method=mvn_arch. at 223.88.
At seed=36, n=300, industry=FIN, sampling_method=ar1. at 227.55.
At seed=37, n=300, industry=FIN, sampling_method=ar1. at 231.89.
At seed=38, n=300, industry=FIN, sampling_method=ar1. at 236.25.
At seed=39, n=300, industry=FIN, sampling_method=ar1. at 240.61.
At seed=40, n=300, industry=FIN, sampling_method=ar1. at 244.98.
At seed=36, n=300, industry=FIN, sampling_method=garch. at 249.34.
At seed=37, n=300, industry=FIN, sampling_method=garch. at 253.72.
At seed=38, n=300, industry=FIN, sampling_method=garch. at 258.13.
At seed=39, n=300, industry=FIN, sampling_method=garch. at 262.58.
At seed=40, n=300, industry=FIN, sampling_method=garch. at 266.97.
At seed=36, n=300, industry=FIN, sampling_method=garch_ar1. at 271.37.
At seed=37, n=300, industry=FIN, sampling_method=garch_ar1. at 275.75.
At seed=38, n=300, industry=FIN, sampling_method=garch_ar1. at 280.14.
At seed=39, n=300, industry=FIN, sampling_method=garch_ar1. at 284.63.
At seed=40, n=300, industry=FIN, sampling_method=garch_ar1. at 289.04.
At seed=36, n=300, industry=FIN, sampling_method=mvn_arch. at 293.43.
At seed=37, n=300, industry=FIN, sampling_method=mvn_arch. at 297.84.
At seed=38, n=300, industry=FIN, sampling_method=mvn_arch. at 302.26.
At seed=39, n=300, industry=FIN, sampling_method=mvn_arch. at 306.68.
At seed=40, n=300, industry=FIN, sampling_method=mvn_arch. at 311.11.
At seed=36, n=400, industry=FIN, sampling_method=ar1. at 315.51.
At seed=37, n=400, industry=FIN, sampling_method=ar1. at 320.96.
At seed=38, n=400, industry=FIN, sampling_method=ar1. at 326.41.
At seed=39, n=400, industry=FIN, sampling_method=ar1. at 331.88.
At seed=40, n=400, industry=FIN, sampling_method=ar1. at 337.3.
At seed=36, n=400, industry=FIN, sampling_method=garch. at 342.74.
At seed=37, n=400, industry=FIN, sampling_method=garch. at 348.22.
At seed=38, n=400, industry=FIN, sampling_method=garch. at 353.66.
At seed=39, n=400, industry=FIN, sampling_method=garch. at 359.14.
At seed=40, n=400, industry=FIN, sampling_method=garch. at 364.6.
At seed=36, n=400, industry=FIN, sampling_method=garch_ar1. at 370.06.
At seed=37, n=400, industry=FIN, sampling_method=garch_ar1. at 375.52.
At seed=38, n=400, industry=FIN, sampling_method=garch_ar1. at 380.99.
At seed=39, n=400, industry=FIN, sampling_method=garch_ar1. at 386.46.
At seed=40, n=400, industry=FIN, sampling_method=garch_ar1. at 391.94.
At seed=36, n=400, industry=FIN, sampling_method=mvn_arch. at 397.41.
